Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Mouse, Choctawhatchee beach (Peromyscus",,,,,,
"",470,E,,"$37,500","$45,781","$83,281",$0,"$83,281"
"",,polionotus allophrys) - Wherever found,,,,,,
"",,"Mouse, Key Largo cotton (Peromyscus",,,,,,
"",547,E,,"$55,500","$1,561","$57,061",$0,"$57,061"
"",,gossypinus allapaticola) - Wherever found,,,,,,
"",,"Mouse, New Mexico meadow jumping (Zapus",,,,,,
"",254,E,,"$103,865","$241,341","$345,206",$0,"$345,206"
"",,hudsonius luteus) - Wherever found,,,,,,
"",,"Mouse, Pacific pocket (Perognathus",,,,,,
"",230,E,,"$74,000","$362,400","$436,400",$0,"$436,400"
"",,longimembris pacificus) - Wherever found,,,,,,
"",,"Mouse, Perdido Key beach (Peromyscus",,,,,,
"",399,E,,"$78,000","$46,134","$124,134",$0,"$124,134"
"",,polionotus trissyllepsis) - Wherever found,,,,,,
"",,"Mouse, Preble's meadow jumping (Zapus",,,,,,
"",370,T,,"$57,400","$65,439","$122,839","$15,745","$138,584"
"",,hudsonius preblei) - wherever found,,,,,,
"",,"Mouse, salt marsh harvest (Reithrodontomys",,,,,,
"",135,E,,"$723,000","$266,500","$989,500",$0,"$989,500"
"",,raviventris) - wherever found,,,,,,
"",,"Mouse, southeastern beach (Peromyscus",,,,,,
"",334,T,,"$135,500","$35,820","$171,320",$0,"$171,320"
"",,polionotus niveiventris) - wherever found,,,,,,
"",,"Mouse, St. Andrew beach (Peromyscus",,,,,,
"",553,E,,"$18,000","$37,660","$55,660",$0,"$55,660"
"",,polionotus peninsularis) - Wherever found,,,,,,
"",,Ocelot (Leopardus (=Felis) pardalis) - wherever,,,,,,
"",120,E,,"$1,066,400","$24,910","$1,091,310",$0,"$1,091,310"
"",,found,,,,,,
"",918,Orangutan (Pongo pygmaeus) - Wherever found E,,"$13,585",$0,"$13,585",$0,"$13,585"
"",,"Otter, Northern Sea (Enhydra lutris kenyoni) -",,,,,,
"",237,T,,"$273,810","$138,751","$412,561","$4,000","$416,561"
"",,Southwest Alaska DPS,,,,,,
"",,"Otter, southern sea (Enhydra lutris nereis) -",,,,,,
"",231,T,,$0,"$434,499","$434,499",$0,"$434,499"
"",,Wherever found,,,,,,
"",,"Otter, southern sea (Enhydra lutris nereis) -",,,,,,
"",739,NS,,"$25,000",$0,"$25,000",$0,"$25,000"
"",,Wherever found,,,,,,
"",,"Pangolin, Temnick''s ground (Manis",,,,,,
"",321,E,,"$193,532",$0,"$193,532",$0,"$193,532"
"",,temminckii) - Wherever found,,,,,,
"",,"Panther, Florida (Puma (=Felis) concolor coryi)",,,,,,
"",83,E,,"$1,154,500","$1,033,376","$2,187,876",$0,"$2,187,876"
"",,- Wherever found,,,,,,
"",,"Pocket gopher, Olympia (Thomomys mazama",,,,,,
"",216,T,,"$452,868","$2,000","$454,868","$35,000","$489,868"
"",,pugetensis) - Wherever found,,,,,,
"",,"Pocket gopher, Roy Prairie (Thomomys",,,,,,
"",270,T,,"$261,401",$0,"$261,401","$35,000","$296,401"
"",,mazama glacialis) - Wherever found,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Pocket gopher, Tenino (Thomomys mazama",,,,,,
"",215,,T,"$324,991","$130,000","$454,991","$35,000","$489,991"
"",,tumuli) - Wherever found,,,,,,
"",,"Pocket gopher, Yelm (Thomomys mazama",,,,,,
"",220,,T,"$325,801","$75,000","$400,801","$75,000","$475,801"
"",,yelmensis) - Wherever found,,,,,,
"",,"Prairie dog, Utah (Cynomys parvidens) -",,,,,,
"",168,,T,$0,"$702,600","$702,600",$0,"$702,600"
"",,Wherever found,,,,,,
"",,"Pronghorn, Sonoran (Antilocapra americana",,,,,,
"",972,"sonoriensis) - Wherever found, except where",E,$0,"$11,430","$11,430",$0,"$11,430"
"",,listed as an experimental population,,,,,,
"",,"Pronghorn, Sonoran (Antilocapra americana",,,,,,
"",185,,EXPN,"$412,000","$184,780","$596,780",$0,"$596,780"
"",,"sonoriensis) - U.S.A. (AZ), Mexico",,,,,,
"",,Puma (=mountain lion) (Puma (=Felis) concolor,,,,,,
"",229,,SAT,$200,"$437,370","$437,570",$0,"$437,570"
"",,(all subsp. except coryi)) - FL,,,,,,
"",,"Rabbit, Columbia Basin Pygmy (Brachylagus",,,,,,
"",191,,E,"$331,520","$18,600","$350,120","$229,600","$579,720"
"",,idahoensis) - Columbia Basin DPS,,,,,,
"",,"Rabbit, Lower Keys marsh (Sylvilagus palustris",,,,,,
"",433,,E,"$70,500","$27,293","$97,793",$0,"$97,793"
"",,hefneri) - Wherever found,,,,,,
"",,"Rabbit, riparian brush (Sylvilagus bachmani",,,,,,
"",534,,E,"$53,000","$8,300","$61,300",$0,"$61,300"
"",,riparius) - Wherever found,,,,,,
"",138,"Rhinoceros, black (Diceros bicornis) - Africa",E,"$969,295",$0,"$969,295",$0,"$969,295"
"",,"Rhinoceros, great Indian (Rhinoceros unicornis)",,,,,,
"",423,,E,"$100,672",$0,"$100,672",$0,"$100,672"
"",,"- Nepal, India",,,,,,
"",,"Rhinoceros, Javan (Rhinoceros sondaicus) -",,,,,,
"",303,"Sikkim, Thailand, Malaysia, Indonesia,",E,"$225,852",$0,"$225,852",$0,"$225,852"
"",,"Indochina, Burma, Bangladesh",,,,,,
"",,"Rhinoceros, Southern white (Ceratotherium",,,,,,
"",362,,SAT,"$145,451",$0,"$145,451",$0,"$145,451"
"",,simum ssp. simum) - Wherever found,,,,,,
"",,"Rhinoceros, Sumatran (Dicerorhinus",,,,,,
"",211,,E,"$505,326",$0,"$505,326",$0,"$505,326"
"",,sumatrensis) - Wherever found,,,,,,
"",,"Rice rat, Silver (Oryzomys palustris natator) -",,,,,,
"",758,,E,"$18,000","$5,303","$23,303",$0,"$23,303"
"",,lower FL Keys,,,,,,
"",,"Seal, bearded (Erignathus barbatus nauticus) -",,,,,,
"",94,,T,$0,"$1,705,000","$1,705,000",$0,"$1,705,000"
"",,Beringia DPS,,,,,,
"",,"Seal, Guadalupe fur (Arctocephalus townsendi) -",,,,,,
"",249,,T,$0,"$366,042","$366,042",$0,"$366,042"
"",,Wherever found,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Seal, Hawaiian monk (Monachus schauinslandi)",,,,,,
"",58,,E,"$92,020","$4,181,114","$4,273,134",$0,"$4,273,134"
"",,- Wherever found,,,,,,
"",,"Sea lion, Steller (Eumetopias jubatus) - Western",,,,,,
"",49,,E,"$33,000","$5,531,634","$5,564,634","$125,520","$5,690,154"
"",,DPS,,,,,,
"",,"Seal, Ringed (Phoca (=Pusa) hispida botnica) -",,,,,,
"",1182,,T,$0,"$4,000","$4,000",$0,"$4,000"
"",,Wherever found,,,,,,
"",,"Seal, Ringed (Phoca (=Pusa) hispida hispida) -",,,,,,
"",955,,T,$0,"$11,998","$11,998",$0,"$11,998"
"",,Wherever found,,,,,,
"",,"Sheep, Peninsular bighorn (Ovis canadensis",,,,,,
"",330,,E,"$116,000","$64,500","$180,500",$0,"$180,500"
"",,nelsoni) - Peninsular CA pop.,,,,,,
"",,"Sheep, Sierra Nevada bighorn (Ovis canadensis",,,,,,
"",236,,E,"$150,000","$267,980","$417,980",$0,"$417,980"
"",,sierrae) - Sierra Nevada,,,,,,
"",,"Shrew, Buena Vista Lake ornate (Sorex ornatus",,,,,,
"",456,,E,"$73,000","$15,390","$88,390",$0,"$88,390"
"",,relictus) - Wherever found,,,,,,
"",,"Squirrel, Carolina northern flying (Glaucomys",,,,,,
"",572,,E,"$16,300","$25,824","$42,124","$7,500","$49,624"
"",,sabrinus coloratus) - Wherever found,,,,,,
"",,"Squirrel, Mount Graham red (Tamiasciurus",,,,,,
"",747,,E,"$24,500",$0,"$24,500",$0,"$24,500"
"",,hudsonicus grahamensis) - Wherever found,,,,,,
"",,"Squirrel, Northern Idaho Ground (Urocitellus",,,,,,
"",266,,T,"$282,892","$3,100","$285,992","$24,000","$309,992"
"",,brunneus) - Wherever found,,,,,,
"",106,Tiger (Panthera tigris) - Wherever found,E,"$1,409,159",$0,"$1,409,159",$0,"$1,409,159"
"",,"Vole, Amargosa (Microtus californicus",,,,,,
"",207,,E,"$396,800","$117,000","$513,800",$0,"$513,800"
"",,scirpensis) - Wherever found,,,,,,
"",,"Vole, Florida salt marsh (Microtus",,,,,,
"",583,pennsylvanicus dukecampbelli) - Wherever,E,"$47,500",$0,"$47,500",$0,"$47,500"
"",,found,,,,,,
