Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,,Federal Total,States Total,,Species Total
"",,"Mouse, southeastern beach (Peromyscus polionotus niveiventris) -",,,,,,,,
"",404,,T,"$99,500","$48,600",,"$148,100","$1,115",,"$149,215"
"",,wherever found,,,,,,,,
"",,"Mouse, St. Andrew beach (Peromyscus polionotus peninsularis) -",,,,,,,,
"",495,,E,"$13,000","$84,343",,"$97,343","$3,344",,"$100,687"
"",,Wherever found,,,,,,,,
"",155,Ocelot (Leopardus (=Felis) pardalis) - wherever found,E,"$788,200","$43,800",,"$832,000","$8,609",,"$840,609"
"",298,Orangutan (Pongo pygmaeus) - Wherever found,E,"$275,335",$200,,"$275,535",$0,,"$275,535"
"",346,"Oryx, scimitar-horned (Oryx dammah) - Wherever found",E,$0,"$189,750",,"$189,750",$0,,"$189,750"
"",823,"Otter, giant (Pteronura brasiliensis) - South America",E,"$24,745",$0,,"$24,745",$0,,"$24,745"
"",126,"Otter, Northern Sea (Enhydra lutris kenyoni) - Southwest Alaska DPS",T,"$1,062,000","$124,982",,"$1,186,982",$0,,"$1,186,982"
"",151,"Otter, southern sea (Enhydra lutris nereis) - Wherever found",T,"$23,636","$847,359",,"$870,995",$0,,"$870,995"
"",234,"Panda, giant (Ailuropoda melanoleuca) - Wherever found",E,$0,"$478,300",,"$478,300",$0,,"$478,300"
"",339,"Pangolin, Temnick''s ground (Manis temminckii) - Wherever found",E,"$199,797",$0,,"$199,797",$0,,"$199,797"
"",68,"Panther, Florida (Puma (=Felis) concolor coryi) - Wherever found",E,"$1,058,500","$1,138,685",,"$2,197,185","$804,101",,"$3,001,286"
"",,"Pocket gopher, Olympia (Thomomys mazama pugetensis) - Wherever",,,,,,,,
"",266,,T,"$272,401","$83,000",,"$355,401","$5,000",,"$360,401"
"",,found,,,,,,,,
"",,"Pocket gopher, Roy Prairie (Thomomys mazama glacialis) - Wherever",,,,,,,,
"",246,,T,"$169,531","$266,666",,"$436,197","$5,000",,"$441,197"
"",,found,,,,,,,,
"",312,"Pocket gopher, Tenino (Thomomys mazama tumuli) - Wherever found",T,"$236,431",$0,,"$236,431","$5,000",,"$241,431"
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,Species Total
"",205,"Pocket gopher, Yelm (Thomomys mazama yelmensis) - Wherever found",T,"$576,531",$0,,"$576,531","$20,000","$596,531"
"",74,"Prairie dog, Utah (Cynomys parvidens) - Wherever found",T,"$876,000","$1,630,948",,"$2,506,948","$70,000","$2,576,948"
"",,"Pronghorn, peninsular (Antilocapra americana peninsularis) - Mexico",,,,,,,
"",1359,,E,$0,"$3,000",,"$3,000",$0,"$3,000"
"",,(Baja California),,,,,,,
"",,"Pronghorn, Sonoran (Antilocapra americana sonoriensis) - Wherever",,,,,,,
"",321,,E,$0,"$232,500",,"$232,500",$0,"$232,500"
"",,"found, except where listed as an experimental population",,,,,,,
"",,"Pronghorn, Sonoran (Antilocapra americana sonoriensis) - U.S.A. (AZ),",,,,,,,
"",123,,EXPN,"$306,500","$110,000",,"$416,500","$816,763","$1,233,263"
"",,Mexico,,,,,,,
"",,"Puma (=cougar), eastern (Puma (=Felis) concolor couguar) - Wherever",,,,,,,
"",929,,E,"$10,391","$6,361",,"$16,752",$900,"$17,652"
"",,found,,,,,,,
"",,Puma (=mountain lion) (Puma (=Felis) concolor (all subsp. except,,,,,,,
"",1359,,SAT,$0,"$3,000",,"$3,000",$0,"$3,000"
"",,coryi)) - FL,,,,,,,
"",,"Rabbit, Columbia Basin Pygmy (Brachylagus idahoensis) - Columbia",,,,,,,
"",265,,E,"$261,912","$6,200",,"$268,112","$100,689","$368,801"
"",,Basin DPS,,,,,,,
"",,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri) - Wherever",,,,,,,
"",371,,E,"$22,500","$147,405",,"$169,905",$0,"$169,905"
"",,found,,,,,,,
"",631,"Rabbit, riparian brush (Sylvilagus bachmani riparius) - Wherever found",E,"$50,410","$2,688",,"$53,098",$0,"$53,098"
"",129,"Rhinoceros, black (Diceros bicornis) - Africa",E,"$1,143,586",$300,,"$1,143,886",$0,"$1,143,886"
"",465,"Rhinoceros, great Indian (Rhinoceros unicornis) - Nepal, India",E,"$127,581",$0,,"$127,581",$0,"$127,581"
"",,"Rhinoceros, Javan (Rhinoceros sondaicus) - Sikkim, Thailand, Malaysia,",,,,,,,
"",368,,E,"$170,916",$0,,"$170,916",$0,"$170,916"
"",,"Indonesia, Indochina, Burma, Bangladesh",,,,,,,
"",,"Rhinoceros, Southern white (Ceratotherium simum ssp. simum) -",,,,,,,
"",257,,SAT,"$405,775",$300,,"$406,075",$0,"$406,075"
"",,Wherever found,,,,,,,
"",254,"Rhinoceros, Sumatran (Dicerorhinus sumatrensis) - Wherever found",E,"$410,106",$0,,"$410,106",$0,"$410,106"
"",808,Rice rat (Oryzomys palustris natator) - lower FL Keys,E,"$15,000","$11,420",,"$26,420",$0,"$26,420"
"",854,"Seal, bearded (Erignathus barbatus nauticus) - Okhotsk DPS",T,$0,"$22,186",,"$22,186",$0,"$22,186"
"",343,"Seal, Guadalupe fur (Arctocephalus townsendi) - Wherever found",T,$0,"$191,706",,"$191,706",$0,"$191,706"
"",56,"Seal, Hawaiian monk (Monachus schauinslandi) - Wherever found",E,"$81,770","$4,101,134",,"$4,182,904",$0,"$4,182,904"
"",65,"Sea lion, Steller (Eumetopias jubatus) - Western DPS",E,"$31,400","$2,400,258",,"$2,431,658","$1,139,184","$3,570,842"
"",1423,"Seal, Ringed (Phoca (=Pusa) hispida botnica) - Wherever found",T,$0,$300,,$300,$0,$300
"",320,"Seal, Ringed (Phoca (=Pusa) hispida hispida) - Wherever found",T,$0,$60,,$60,"$234,029","$234,089"
"",1406,"Seal, spotted (Phoca largha) - Southern DPS",T,$0,"$1,000",,"$1,000",$0,"$1,000"
"",,"Sheep, Peninsular bighorn (Ovis canadensis nelsoni) - Peninsular CA",,,,,,,
"",473,,E,"$110,220","$10,500",,"$120,720",$0,"$120,720"
"",,pop.,,,,,,,
"",277,"Sheep, Sierra Nevada bighorn (Ovis canadensis sierrae) - Sierra Nevada",E,"$142,340","$197,128",,"$339,468",$0,"$339,468"
"",,"Shrew, Buena Vista Lake ornate (Sorex ornatus relictus) - Wherever",,,,,,,
"",503,,E,"$69,300","$23,516",,"$92,816",$0,"$92,816"
"",,found,,,,,,,
"",1423,Siamang (Symphalangus syndactylus) - Wherever found,E,$0,$300,,$300,$0,$300
"",,"Squirrel, Carolina northern flying (Glaucomys sabrinus coloratus) -",,,,,,,
"",677,,E,"$30,500","$16,104",,"$46,604",$0,"$46,604"
"",,Wherever found,,,,,,,
