Group,Status,Scientific Name,Inverted Common Name,FWS 2017,Other Fed 2017,States 2017,Total 2017,Area
Flowering Plants,E,trifolium trichocalyx ,"clover, monterey ",1666,0,0,1666, wherever found
Flowering Plants,E,purshia ,"cliffrose, arizona ",300,1700,500,2500,
Flowering Plants,T,clarkia springvillensis ,"clarkia, springville ",11000,7361,0,18361, wherever found
Flowering Plants,E,clarkia franciscana ,"clarkia, presidio ",9020,2000,0,11020, wherever found
Flowering Plants,E,dudleya setchellii ,"dudleya, santa clara valley ",16390,4000,0,20390, wherever found
Flowering Plants,E,pleodendron macranthum ,chupacallos ,5000,0,0,5000, wherever found
Flowering Plants,E,atriplex coronata var. notatior ,"crownscale, san jacinto valley ",7733,0,0,7733, wherever found
Flowering Plants,T,dudleya nesiotica ,"dudleya, santa cruz island ",16151,0,0,16151, wherever found
Flowering Plants,E,"na`u, hawaiian ",gardenia ,12216,0,0,12216,
Flowering Plants,T,hesperolinon congestum ,"dwarf-flax, marin ",10670,2000,0,12670, wherever found
Flowering Plants,T,harrisia portoricensis ,"chumbo, higo ",8000,0,0,8000, wherever found
Flowering Plants,E,leavenworthia texana ,"gladecress, texas golden ",1000,200,0,1200, wherever found
Flowering Plants,T,leavenworthia exigua laciniata ,"glade cress, kentucky ",18500,3710,0,22210, wherever found
Flowering Plants,E,leavenworthia crassa ,"gladecress, fleshy-fruit ",0,200,0,200, wherever found
Flowering Plants,E,gilia tenuiflora ssp. arenaria ,"gilia, monterey ",14560,21635,0,36195, wherever found
Flowering Plants,E,gilia tenuiflora ssp. hoffmannii ,"gilia, hoffmann's slender-flowered ",2500,8530,0,11030, wherever found
Flowering Plants,E,agalinis acuta ,"gerardia, sandplain ",9600,2640,650,12890, wherever found
Flowering Plants,E,geranium arboreum ,"geranium, hawaiian red-flowered ",14691,62000,0,76691, wherever found
Flowering Plants,E,fritillaria gentneri ,"fritillary, gentner's ",125262,225000,0,350262, wherever found
Flowering Plants,E,chionanthus pygmaeus ,"fringe-tree, pygmy ",0,0,3000,3000, wherever found
Flowering Plants,E,thysanocarpus conchuliferus ,"fringepod, santa cruz island ",2500,200,0,2700, wherever found
Flowering Plants,T,mirabilis macfarlanei ,"four-o'clock, macfarlane's ",118648,33600,4983,157231, wherever found
Flowering Plants,T,erigeron rhizomatus ,"fleabane, zuni ",1000,4200,500,5700, wherever found
Flowering Plants,E,linum arenicola ,"flax, sand ",2500,700,1300,4500, wherever found
Flowering Plants,E,linum carteri carteri ,"flax, carter's small-flowered ",1000,0,700,1700, wherever found
Flowering Plants,E,fremontodendron californicum ssp. decumbens ,"flannelbush, pine hill ",0,9500,0,9500, wherever found
Flowering Plants,E,fremontodendron mexicanum ,"flannelbush, mexican ",250,500,0,750, wherever found
Flowering Plants,E,amsinckia grandiflora ,"fiddleneck, large-flowered ",15840,124800,0,140640, wherever found
Flowering Plants,T,camissonia benitensis ,"evening-primrose, san benito ",0,17400,0,17400, wherever found
Flowering Plants,E,oenothera avita ssp. eurekensis ,"evening-primrose, eureka valley ",28350,50000,0,78350, 
Flowering Plants,E,oenothera deltoides ssp. howellii ,"evening-primrose, antioch dunes ",123450,0,0,123450, wherever found
Flowering Plants,E,solanum drymophilum ,erubia ,5000,0,0,5000, wherever found
Flowering Plants,E,pseudognaphalium sandwicensium var. molokaiense ,`ena`ena ,5914,500,0,6414, wherever found
