Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Barrens topminnow,Fundulus julisia,Wherever found,Fishes,2019-11-20,E,Southeast Region,
No common name,Schiedea membranacea,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Mann's bluegrass,Poa mannii,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Koholapehu,Dubautia latifolia,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Spectaclecase (mussel),Cumberlandia monodonta,Wherever found,Clams,2014-01-06,E,Great Lakes-Big Rivers Region,
Miami Blue Butterfly,Cyclargus (=Hemiargus) thomasi bethunebakeri,Wherever found,Insects,2012-04-04,E,Southeast Region,
No common name,Phyllostegia floribunda,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Ha`iwale,Cyrtandra limahuliensis,Wherever found,Flowering Plants,2021-08-27,T,Pacific Region,79.0
Ko`oko`olau,Bidens micrantha ssp. ctenophylla,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Haha,Cyanea asarifolia,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
No common name,Doryopteris angelica,Wherever found,Ferns and Allies,2021-08-27,E,Pacific Region,77.0
lehua makanoe,Lysimachia daphnoides,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,76.0
No common name,Poa siphonoglossa,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Nani wai`ale`ale,Viola kauaiensis var. wahiawaensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,76.0
California tiger Salamander,Ambystoma californiense,U.S.A. (Central CA DPS),Amphibians,2017-06-06,T,California/Nevada Region,25.0
Akekee,Loxops caeruleirostris,Wherever found,Birds,2021-08-27,E,Pacific Region,147.0
Salt Creek Tiger beetle,Cicindela nevadica lincolniana,Wherever found,Insects,2017-01-03,E,Mountain-Prairie Region,
No common name,Asplenium dielmannii,Wherever found,Ferns and Allies,2021-08-27,E,Pacific Region,78.0
Black warrior (=Sipsey Fork) Waterdog,Necturus alabamensis,Wherever found,Amphibians,2018-04-11,E,Southeast Region,
Haha,Cyanea undulata,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Big Sandy crayfish,Cambarus callainus,Wherever found,Crustaceans,2018-09-10,T,Northeast Region,
Mariana wandering butterfly,Vagrans egistina,Wherever found,Insects,2020-02-03,E,Pacific Region,
Kauai nukupuu,Hemignathus hanapepe,Wherever found,Birds,2021-08-27,E,Pacific Region,146.0
