Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Hoover's spurge,Chamaesyce hooveri,Wherever found,Flowering Plants,2006-03-07,T,California/Nevada Region,35.0
Suisun thistle,Cirsium hydrophilum var. hydrophilum,Wherever found,Flowering Plants,2014-02-26,E,California/Nevada Region,96.0
Vine Hill clarkia,Clarkia imbricata,Wherever found,Flowering Plants,2016-04-13,E,California/Nevada Region,9.0
`Oha wai,Clermontia drepanomorpha,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,34.0
Soft bird's-beak,Cordylanthus mollis ssp. mollis,Wherever found,Flowering Plants,2014-02-26,E,California/Nevada Region,104.0
Haha,Cyanea humboldtiana,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,27.0
Ha`iwale,Cyrtandra dentata,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
No common name,Delissea undulata,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,35.0
Baker's larkspur,Delphinium bakeri,Wherever found,Flowering Plants,2015-08-03,E,California/Nevada Region,22.0
Conejo dudleya,Dudleya abramsii ssp. parva,Wherever found,Flowering Plants,1999-09-30,T,California/Nevada Region,12.0
Marcescent dudleya,Dudleya cymosa ssp. marcescens,Wherever found,Flowering Plants,1999-09-30,T,California/Nevada Region,12.0
Santa Cruz Island dudleya,Dudleya nesiotica,Wherever found,Flowering Plants,2000-09-26,T,California/Nevada Region,22.0
Fosberg's love grass,Eragrostis fosbergii,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
`Akoko,Euphorbia haeleeleana,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,26.0
Pine Hill flannelbush,Fremontodendron californicum ssp. decumbens,Wherever found,Flowering Plants,2002-08-30,E,California/Nevada Region,24.0
Gentner's Fritillary,Fritillaria gentneri,Wherever found,Flowering Plants,2003-08-28,E,Pacific Region,24.0
Island bedstraw,Galium buxifolium,Wherever found,Flowering Plants,2000-09-26,E,California/Nevada Region,24.0
El Dorado bedstraw,Galium californicum ssp. sierrae,Wherever found,Flowering Plants,2002-08-30,E,California/Nevada Region,27.0
Hoffmann's slender-flowered gilia,Gilia tenuiflora ssp. hoffmannii,Wherever found,Flowering Plants,2000-09-26,E,California/Nevada Region,24.0
Showy stickseed,Hackelia venusta,Wherever found,Flowering Plants,2007-12-12,E,Pacific Region,22.0
Island rush-rose,Helianthemum greenei,Wherever found,Flowering Plants,2000-09-26,T,California/Nevada Region,24.0
"Pecos (=puzzle, =paradox) sunflower",Helianthus paradoxus,Wherever found,Flowering Plants,2005-09-15,T,Southwest Region,25.0
Otay tarplant,Deinandra (=Hemizonia) conjugens,Wherever found,Flowering Plants,2004-12-07,T,California/Nevada Region,21.0
Hau kuahiwi,Hibiscadelphus giffardianus,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,30.0
Hau kuahiwi,Hibiscadelphus hualalaiensis,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,35.0
Aupaka,Isodendrion laurifolium,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,23.0
Aupaka,Isodendrion longifolium,Wherever found,Flowering Plants,1999-07-10,T,Pacific Region,24.0
Kamakahala,Labordia triflora,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,27.0
Contra Costa goldfields,Lasthenia conjugens,Wherever found,Flowering Plants,2006-03-07,E,California/Nevada Region,44.0
`Anaunau,Lepidium arbuscula,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Spring Creek bladderpod,Lesquerella perforata,Wherever found,Flowering Plants,2006-09-08,E,Southeast Region,15.0
San Clemente Island woodland-star,Lithophragma maximum,Wherever found,Flowering Plants,1984-01-26,E,California/Nevada Region,31.0
No common name,Lobelia koolauensis,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,27.0
Santa Cruz Island bush-mallow,Malacothamnus fasciculatus var. nesioticus,Wherever found,Flowering Plants,2000-09-26,E,California/Nevada Region,24.0
Alani,Melicope saint-johnii,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Atlantic pigtoe,Fusconaia masoni,Wherever found,Clams,2022-02-04,T,Southeast Region,
Few-flowered navarretia,Navarretia leucocephala ssp. pauciflora (=N. pauciflora),Wherever found,Flowering Plants,2006-03-07,E,California/Nevada Region,39.0
Many-flowered navarretia,Navarretia leucocephala ssp. plieantha,Wherever found,Flowering Plants,2006-03-07,E,California/Nevada Region,32.0
Colusa grass,Neostapfia colusana,Wherever found,Flowering Plants,2006-03-07,T,California/Nevada Region,39.0
No common name,Neraudia ovata,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,36.0
Hairy Orcutt grass,Orcuttia pilosa,Wherever found,Flowering Plants,2006-03-07,E,California/Nevada Region,36.0
Slender Orcutt grass,Orcuttia tenuis,Wherever found,Flowering Plants,2006-03-07,T,California/Nevada Region,46.0
Lau `ehu,Panicum niihauense,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,21.0
Lake County stonecrop,Parvisedum leiocarpum,Wherever found,Flowering Plants,2006-03-07,E,California/Nevada Region,30.0
Lyon's pentachaeta,Pentachaeta lyonii,Wherever found,Flowering Plants,1999-09-30,E,California/Nevada Region,14.0
Island phacelia,Phacelia insularis ssp. insularis,Wherever found,Flowering Plants,2000-09-26,E,California/Nevada Region,24.0
Yreka phlox,Phlox hirsuta,Wherever found,Flowering Plants,2006-09-21,E,California/Nevada Region,19.0
No common name,Phyllostegia hirsuta,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
Meltwater lednian stonefly,Lednia tumana,Wherever found,Insects,2021-12-14,T,Mountain-Prairie Region,
No common name,Phyllostegia parviflora,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,25.0
rough popcornflower,Plagiobothrys hirtus,Wherever found,Flowering Plants,2003-09-25,E,Pacific Region,24.0
Hickman's potentilla,Potentilla hickmanii,Wherever found,Flowering Plants,2004-08-19,E,California/Nevada Region,21.0
No common name,Sanicula purpurea,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,23.0
No common name,Schiedea hookeri,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,25.0
Ma`oli`oli,Schiedea kealiae,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,24.0
Short's bladderpod,Physaria globosa,Wherever found,Flowering Plants,2021-08-05,E,Southeast Region,
No common name,Schiedea sarmentosa,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,26.0
No common name,Schiedea verticillata,Wherever found,Flowering Plants,1998-03-31,E,Pacific Region,26.0
Shrubby reed-mustard,Schoenocrambe suffrutescens,Wherever found,Flowering Plants,1994-09-14,E,Mountain-Prairie Region,9.0
Layne's butterweed,Senecio layneae,Wherever found,Flowering Plants,2002-08-30,T,California/Nevada Region,38.0
Wenatchee Mountains checkermallow,Sidalcea oregana var. calva,Wherever found,Flowering Plants,2004-09-30,E,Pacific Region,28.0
Spalding's Catchfly,Silene spaldingii,Wherever found,Flowering Plants,2007-10-12,T,Pacific Region,71.0
Ashy dogweed,Thymophylla tephroleuca,Wherever found,Flowering Plants,1988-07-29,E,Southwest Region,20.0
No common name,Abutilon eremitopetalum,Wherever found,Flowering Plants,1995-09-29,E,Pacific Region,52.0
Ko`oloa`ula,Abutilon menziesii,Wherever found,Flowering Plants,1995-09-29,E,Pacific Region,63.0
No common name,Abutilon sandwicense,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,27.0
Liliwai,Acaena exigua,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,38.0
Northern wild monkshood,Aconitum noveboracense,Wherever found,Flowering Plants,1983-09-23,T,Great Lakes-Big Rivers Region,43.0
Mahoe,Alectryon macrococcus,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,9.0
No common name,Schiedea obovata,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
No common name,Schiedea trinervis,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
Tenino pocket gopher,Thomomys mazama tumuli,Wherever found,Mammals,2021-06-29,T,Pacific Region,5.0
Little amphianthus,Amphianthus pusillus,Wherever found,Flowering Plants,1993-07-07,T,Southeast Region,10.0
Large-flowered fiddleneck,Amsinckia grandiflora,Wherever found,Flowering Plants,1997-09-29,E,California/Nevada Region,28.0
Tobusch fishhook cactus,Sclerocactus brevihamatus ssp. tobuschii,Wherever found,Flowering Plants,1987-03-18,T,Southwest Region,29.0
Prices potato-bean,Apios priceana,,Flowering Plants,1993-02-10,T,Southeast Region,22.0
McDonald's rock-cress,Arabis macdonaldiana,Wherever found,Flowering Plants,1984-02-28,E,California/Nevada Region,14.0
Braun's rock-cress,Arabis perstellata,Wherever found,Flowering Plants,1997-07-22,E,Southeast Region,13.0
Dwarf Bear-poppy,Arctomecon humilis,Wherever found,Flowering Plants,1985-12-31,E,Mountain-Prairie Region,22.0
Presidio Manzanita,Arctostaphylos hookeri var. ravenii,Wherever found,Flowering Plants,2003-08-08,E,California/Nevada Region,32.0
Sacramento prickly poppy,Argemone pleiacantha ssp. pinnatisecta,Wherever found,Flowering Plants,1994-08-31,E,Southwest Region,36.0
Mauna Loa (=Ka'u) silversword,Argyroxiphium kauense,Wherever found,Flowering Plants,1995-11-21,E,Pacific Region,47.0
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Wherever found,Flowering Plants,1997-07-29,T,Pacific Region,29.0
Mead's milkweed,Asclepias meadii,Wherever found,Flowering Plants,2003-09-22,T,Great Lakes-Big Rivers Region,43.0
Sentry milk-vetch,Astragalus cremnophylax var. cremnophylax,Wherever found,Flowering Plants,2006-09-28,E,Southwest Region,45.0
Mancos milk-vetch,Astragalus humillimus,Wherever found,Flowering Plants,1989-12-20,E,Southwest Region,13.0
Osterhout milkvetch,Astragalus osterhoutii,Wherever found,Flowering Plants,1992-09-30,E,Mountain-Prairie Region,14.0
Ash meadows milk-vetch,Astragalus phoenix,Wherever found,Flowering Plants,1990-09-28,T,California/Nevada Region,6.0
Hairy rattleweed,Baptisia arachnifera,Wherever found,Flowering Plants,1984-03-19,E,Southeast Region,32.0
Virginia round-leaf birch,Betula uber,Wherever found,Flowering Plants,1990-09-24,T,Northeast Region,10.0
Ko`oko`olau,Bidens micrantha ssp. kalealaha,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,29.0
Ko`oko`olau,Bidens wiebkei,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,26.0
Sonoma sunshine,Blennosperma bakeri,Wherever found,Flowering Plants,2016-06-20,E,California/Nevada Region,40.0
No common name,Bonamia menziesii,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,25.0
Olulu,Brighamia insignis,Wherever found,Flowering Plants,1995-09-20,E,Pacific Region,34.0
Pua `ala,Brighamia rockii,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,27.0
Texas poppy-mallow,Callirhoe scabriuscula,Wherever found,Flowering Plants,1985-03-29,E,Southwest Region,11.0
Tiburon mariposa lily,Calochortus tiburonensis,Wherever found,Flowering Plants,1998-09-30,T,California/Nevada Region,14.0
`Awikiwiki,Canavalia molokaiensis,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,24.0
Small-anthered bittercress,Cardamine micranthera,Wherever found,Flowering Plants,1991-07-10,E,Southeast Region,16.0
Navajo sedge,Carex specuicola,Wherever found,Flowering Plants,1987-09-24,T,Southwest Region,12.0
San Clemente Island Paintbrush,Castilleja grisea,Wherever found,Flowering Plants,1984-01-26,T,California/Nevada Region,31.0
Coyote ceanothus,Ceanothus ferrisae,Wherever found,Flowering Plants,1998-09-30,E,California/Nevada Region,25.0
Kamanomano,Cenchrus agrimonioides,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,25.0
Spring-loving centaury,Centaurium namophilum,Wherever found,Flowering Plants,1990-09-28,T,California/Nevada Region,6.0
`Akoko,Euphorbia celastroides var. kaenana,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,24.0
Ewa Plains `akoko,Euphorbia skottsbergii var. skottsbergii,Wherever found,Flowering Plants,1993-10-05,E,Pacific Region,29.0
Sonoma spineflower,Chorizanthe valida,Wherever found,Flowering Plants,1998-09-29,E,California/Nevada Region,10.0
Chorro Creek bog thistle,Cirsium fontinale var. obispoense,Wherever found,Flowering Plants,1998-09-28,E,California/Nevada Region,8.0
Fountain thistle,Cirsium fontinale var. fontinale,Wherever found,Flowering Plants,1998-09-30,E,California/Nevada Region,26.0
Presidio clarkia,Clarkia franciscana,Wherever found,Flowering Plants,1998-09-30,E,California/Nevada Region,19.0
Pismo clarkia,Clarkia speciosa ssp. immaculata,Wherever found,Flowering Plants,1998-09-28,E,California/Nevada Region,8.0
`Oha wai,Clermontia lindseyana,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,38.0
`Oha wai,Clermontia peleana,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,34.0
`Oha wai,Clermontia pyrularia,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,36.0
Kauila,Colubrina oppositifolia,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,35.0
Gray wolf,Canis lupus,MN,Mammals,1992-01-31,T,Great Lakes-Big Rivers Region,124.0
Cumberland rosemary,Conradina verticillata,Wherever found,Flowering Plants,1996-07-12,T,Southeast Region,13.0
Salt marsh bird's-beak,Cordylanthus maritimus ssp. maritimus,Wherever found,Flowering Plants,1985-12-06,E,California/Nevada Region,78.0
Salt marsh bird's-beak,Cordylanthus maritimus ssp. maritimus,Wherever found,Flowering Plants,2014-02-26,E,California/Nevada Region,2.0
Palmate-bracted bird's beak,Cordylanthus palmatus,Wherever found,Flowering Plants,1998-09-30,E,California/Nevada Region,31.0
Bunched cory cactus,Coryphantha ramillosa,Wherever found,Flowering Plants,1990-04-13,T,Southwest Region,27.0
Lee pincushion cactus,Coryphantha sneedii var. leei,Wherever found,Flowering Plants,1986-03-21,T,Southwest Region,20.0
Sneed pincushion cactus,Coryphantha sneedii var. sneedii,Wherever found,Flowering Plants,1986-03-21,E,Southwest Region,20.0
Haha,Cyanea grimesiana ssp. grimesiana,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,26.0
Haha,Cyanea mceldowneyi,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,30.0
Haha,Cyanea shipmanii,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,34.0
Haha,Cyanea st.-johnii,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,27.0
Haha,Cyanea superba,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,28.0
Ha`iwale,Cyrtandra polyantha,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Ha`iwale,Cyrtandra subumbellata,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
No common name,Delissea rhytidosperma,Wherever found,Flowering Plants,1995-09-20,E,Pacific Region,42.0
Oha,Delissea subcordata,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,28.0
San Clemente Island larkspur,Delphinium variegatum ssp. kinkiense,Wherever found,Flowering Plants,1984-01-26,E,California/Nevada Region,31.0
Santa Barbara Island liveforever,Dudleya traskiae,Wherever found,Flowering Plants,1985-06-27,E,California/Nevada Region,16.0
Nichol's Turk's head cactus,Echinocactus horizonthalonius var. nicholii,Wherever found,Flowering Plants,1986-04-14,E,Southwest Region,19.0
Black lace cactus,Echinocereus reichenbachii var. albertii,Wherever found,Flowering Plants,1987-03-18,E,Southwest Region,20.0
Rough rabbitsfoot,Quadrula cylindrica strigillata,Wherever found,Clams,2004-05-04,E,Northeast Region,26.0
Davis' green pitaya,Echinocereus viridiflorus var. davisii,Wherever found,Flowering Plants,1984-09-20,E,Southwest Region,11.0
Purple bean,Villosa perpurpurea,Wherever found,Clams,2004-05-04,E,Northeast Region,26.0
Indian Knob mountainbalm,Eriodictyon altissimum,Wherever found,Flowering Plants,1998-09-28,E,California/Nevada Region,17.0
Cumberlandian combshell,Epioblasma brevidens,Wherever found; Except where listed as Experimental Populations,Clams,2004-05-04,E,Southeast Region,26.0
Cushenbury buckwheat,Eriogonum ovalifolium var. vineum,Wherever found,Flowering Plants,1997-09-30,E,California/Nevada Region,20.0
San Diego button-celery,Eryngium aristulatum var. parishii,Wherever found,Flowering Plants,1998-09-03,E,California/Nevada Region,11.0
Contra Costa wallflower,Erysimum capitatum var. angustatum,Wherever found,Flowering Plants,1984-04-25,E,California/Nevada Region,20.0
Oyster mussel,Epioblasma capsaeformis,Wherever found; Except where listed as Experimental Populations,Clams,2004-05-04,E,Southeast Region,26.0
Hawaiian gardenia (=Na`u),Gardenia brighamii,Wherever found,Flowering Plants,1993-09-30,E,Pacific Region,147.0
No common name,Geocarpon minimum,Wherever found,Flowering Plants,1993-07-26,T,Southeast Region,10.0
Nohoanu,Geranium arboreum,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,30.0
Spreading avens,Geum radiatum,Wherever found,Flowering Plants,1993-04-28,E,Southeast Region,16.0
No common name,Gouania hillebrandii,Wherever found,Flowering Plants,1990-07-16,E,Pacific Region,36.0
No common name,Gouania meyenii,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
No common name,Gouania vitifolia,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
Cumberland elktoe,Alasmidonta atropurpurea,Wherever found,Clams,2004-05-04,E,Southeast Region,26.0
'Awiwi,Kadua cookiana,Wherever found,Flowering Plants,1995-09-20,E,Pacific Region,40.0
Kio`ele,Kadua coriacea,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,32.0
No common name,Kadua degeneri,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,24.0
pilo,Kadua laxiflora,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,27.0
No common name,Kadua parvula,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Marin dwarf-flax,Hesperolinon congestum,Wherever found,Flowering Plants,1998-09-30,T,California/Nevada Region,42.0
No common name,Hesperomannia arborescens,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
No common name,Hesperomannia arbuscula,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
(=Native yellow hibiscus) ma`o hau hele,Hibiscus brackenridgei,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,26.0
Ash Meadows ivesia,Ivesia kingii var. eremica,Wherever found,Flowering Plants,1990-09-28,T,California/Nevada Region,5.0
Cooke's koki`o,Kokia cookei,Wherever found,Flowering Plants,1998-05-27,E,Pacific Region,36.0
Koki`o,Kokia drynarioides,Wherever found,Flowering Plants,1994-05-06,E,Pacific Region,40.0
Burke's goldfields,Lasthenia burkei,Wherever found,Flowering Plants,2016-06-20,E,California/Nevada Region,41.0
Barneby ridge-cress,Lepidium barnebyanum,Wherever found,Flowering Plants,1993-07-23,E,Mountain-Prairie Region,10.0
Lyrate bladderpod,Lesquerella lyrata,Wherever found,Flowering Plants,1996-10-17,T,Southeast Region,10.0
Kodachrome bladderpod,Lesquerella tumulosa,Wherever found,Flowering Plants,2009-10-27,E,Mountain-Prairie Region,
Western lily,Lilium occidentale,Wherever found,Flowering Plants,1998-03-31,E,California/Nevada Region,23.0
Sebastopol meadowfoam,Limnanthes vinculans,Wherever found,Flowering Plants,2016-06-20,E,California/Nevada Region,40.0
No common name,Lobelia niihauensis,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,28.0
No common name,Lobelia oahuensis,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Humpback chub,Gila cypha,Wherever found,Fishes,1990-09-19,T,Mountain-Prairie Region,36.0
Hala pepe,Pleomele fernaldii,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Lanai tree snail,Partulina variabilis,Wherever found,Snails,2021-02-15,E,Pacific Region,
No common name,Schiedea laui,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Ko`oko`olau,Bidens campylotheca ssp. waihoiensis,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Kolea,Myrsine vaccinioides,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
No common name,Stenogyne kauaulaensis,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
haha,Cyanea maritae,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
`Ala `ala wai nui,Peperomia subpetiolata,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
San Clemente Island bush-mallow,Malacothamnus clementinus,Wherever found,Flowering Plants,1984-01-26,E,California/Nevada Region,30.0
Walker's manioc,Manihot walkerae,Wherever found,Flowering Plants,1993-12-12,E,Southwest Region,27.0
Mohr's Barbara's buttons,Marshallia mohrii,Wherever found,Flowering Plants,1991-11-26,T,Southeast Region,12.0
Alani,Melicope balloui,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,29.0
Desert yellowhead,Yermo xanthocephalus,Wherever found,Flowering Plants,2021-11-08,T,Mountain-Prairie Region,
Alani,Melicope knudsenii,Wherever found,Flowering Plants,1995-09-20,E,Pacific Region,35.0
Alani,Melicope lydgatei,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
Alani,Melicope mucronulata,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,36.0
Alani,Melicope munroi,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,26.0
Alani,Melicope ovalis,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,30.0
Alani,Melicope pallida,Wherever found,Flowering Plants,1995-09-20,E,Pacific Region,31.0
No common name,Schiedea salicaria,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Alani,Melicope reflexa,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,26.0
Alani,Melicope zahlbruckneri,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,31.0
Ash Meadows blazingstar,Mentzelia leucophylla,Wherever found,Flowering Plants,1990-09-28,T,California/Nevada Region,5.0
MacFarlane's four-o'clock,Mirabilis macfarlanei,Wherever found,Flowering Plants,2000-06-30,T,Pacific Region,25.0
Popolo,Cyanea solanacea,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
No common name,Neraudia sericea,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,23.0
`Aiea,Nothocestrum breviflorum,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,36.0
Kulu`i,Nototrichium humile,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Antioch Dunes evening-primrose,Oenothera deltoides ssp. howellii,Wherever found,Flowering Plants,1984-04-25,E,California/Nevada Region,20.0
California Orcutt grass,Orcuttia californica,Wherever found,Flowering Plants,1998-09-03,E,California/Nevada Region,11.0
San Joaquin Orcutt grass,Orcuttia inaequalis,Wherever found,Flowering Plants,2006-03-07,T,California/Nevada Region,37.0
Sacramento Orcutt grass,Orcuttia viscida,Wherever found,Flowering Plants,2006-03-07,E,California/Nevada Region,37.0
Sonoran tiger salamander,Ambystoma mavortium stebbinsi,Wherever found,Amphibians,2019-12-06,E,Southwest Region,38.0
Ha`iwale,Cyrtandra oxybapha,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Furbish lousewort,Pedicularis furbishiae,Wherever found,Flowering Plants,2019-09-26,E,Northeast Region,
Brady pincushion cactus,Pediocactus bradyi,Wherever found,Flowering Plants,1985-03-28,E,Southwest Region,22.0
Knowlton's cactus,Pediocactus knowltonii,Wherever found,Flowering Plants,1985-03-29,E,Southwest Region,15.0
Hay's Spring amphipod,Stygobromus hayi,Wherever found,Crustaceans,2022-03-08,E,Northeast Region,
Siler pincushion cactus,"Pediocactus (=Echinocactus,=Utahia) sileri",Wherever found,Flowering Plants,1986-04-14,T,Southwest Region,15.0
Makou,Peucedanum sandwicense,Wherever found,Flowering Plants,1995-09-20,T,Pacific Region,31.0
Clay phacelia,Phacelia argillacea,Wherever found,Flowering Plants,1982-04-12,E,Mountain-Prairie Region,15.0
North Park phacelia,Phacelia formosula,Wherever found,Flowering Plants,1986-03-21,E,Mountain-Prairie Region,24.0
Texas trailing phlox,Phlox nivalis ssp. texensis,Wherever found,Flowering Plants,1995-03-28,E,Southwest Region,48.0
No common name,Phyllostegia glabra var. lanaiensis,Wherever found,Flowering Plants,1995-09-29,E,Pacific Region,44.0
Kuahiwi laukahi,Plantago princeps,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,22.0
Ozark Hellbender,Cryptobranchus alleganiensis bishopi,Wherever found,Amphibians,2021-07-12,E,Great Lakes-Big Rivers Region,8.0
San Diego mesa-mint,Pogogyne abramsii,Wherever found,Flowering Plants,1998-09-03,E,California/Nevada Region,9.0
Nohoanu,Geranium hanaense,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
No common name,Wikstroemia villosa,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
No common name,Schiedea diffusa subsp. diffusa,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Po`e,Portulaca sclerocarpa,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,37.0
Little Aguja (=Creek) Pondweed,Potamogeton clystocarpus,Wherever found,Flowering Plants,1994-06-20,E,Southwest Region,29.0
Haha,Cyanea obtusa,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Tooth Cave spider,Tayshaneta myopica,Wherever found,Arachnids,1994-08-25,E,Southwest Region,22.0
Arizona Cliffrose,Purshia (=Cowania) subintegra,Wherever found,Flowering Plants,1995-06-16,E,Southwest Region,34.0
Hinckley oak,Quercus hinckleyi,Wherever found,Flowering Plants,1992-09-30,T,Southwest Region,42.0
Autumn Buttercup,Ranunculus aestivalis (=acriformis),Wherever found,Flowering Plants,1991-09-16,E,Mountain-Prairie Region,22.0
Maui remya,Remya mauiensis,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,35.0
Hilaris yellow-faced bee,Hylaeus hilaris,Wherever found,Insects,2021-02-15,E,Pacific Region,
Bunched arrowhead,Sagittaria fasciculata,Wherever found,Flowering Plants,1983-09-08,E,Southeast Region,13.0
Green pitcher-plant,Sarracenia oreophila,Wherever found,Flowering Plants,1994-12-12,E,Southeast Region,18.0
Dwarf naupaka,Scaevola coriacea,Wherever found,Flowering Plants,1997-07-29,E,Pacific Region,35.0
Diamond Head schiedea,Schiedea adamantis,Wherever found,Flowering Plants,1994-02-02,E,Pacific Region,27.0
No common name,Schiedea kaalae,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,26.0
Ha`iwale,Cyrtandra filipes,Wherever found,Flowering Plants,2021-02-15,E,Pacific Region,
Colorado hookless Cactus,Sclerocactus glaucus,Wherever found,Flowering Plants,2010-04-14,T,Mountain-Prairie Region,
Mesa Verde cactus,Sclerocactus mesae-verdae,Wherever found,Flowering Plants,1984-03-30,T,Southwest Region,12.0
Wright fishhook cactus,Sclerocactus wrightiae,Wherever found,Flowering Plants,1985-12-24,E,Mountain-Prairie Region,18.0
San Francisco Peaks ragwort,Packera franciscana,Wherever found,Flowering Plants,1987-10-05,T,Southwest Region,9.0
Nelson's checker-mallow,Sidalcea nelsoniana,Wherever found,Flowering Plants,2010-06-29,T,Pacific Region,42.0
No common name,Silene alexandri,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,27.0
No common name,Silene lanceolata,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,26.0
Fringed campion,Silene polypetala,Wherever found,Flowering Plants,1996-10-01,E,Southeast Region,21.0
Popolo ku mai,Solanum incompletum,Wherever found,Flowering Plants,1999-07-10,E,Pacific Region,24.0
"`Aiakeakua, popolo",Solanum sandwicense,Wherever found,Flowering Plants,1995-09-20,E,Pacific Region,41.0
Short's goldenrod,Solidago shortii,Wherever found,Flowering Plants,1988-05-25,E,Southeast Region,19.0
